"id_estacao","ip_mikrotik","nome","longitude","latitude","codigo_estacao_interno","codigo_estacao_parceiro"
413,"0.0.0.0",PCD Nova Santa Rita/Canoas,0.0,0.0,DCRS-00127,DCRS-00127
414,"0.0.0.0",PCD Santana da Boa Vista,0.0,0.0,DCRS-00128,DCRS-00128
114,"10.192.10.114",PCD Igrejinha (H),-50.7960879,-29.5742633,DCRS-00001,DCRS-00001
115,"10.192.10.115",PCD Sapiranga (H),-50.903004,-29.5934296,DCRS-00002,DCRS-00002
117,"10.192.10.117",PCD Três Coroas (H),-50.759546,-29.469881,DCRS-00004,DCRS-00004
118,"10.192.10.118",PCD Rolante - Rio Mascarada (H),-50.469792,-29.582441,DCRS-00005,DCRS-00005
119,"10.192.10.119",PCD Rolante - Centro (H),-50.5820228,-29.6652486,DCRS-00006,DCRS-00006
120,"10.192.10.120",PCD Protásio Alves/Ipê (H),-51.4258927,-28.738492,DCRS-00007,DCRS-00007
121,"10.192.10.121",PCD Nova Roma/Farroupilha (H),-51.3960557,-29.0575112,DCRS-00008,DCRS-00008
122,"10.192.10.122",PCD Imigrante (H),-51.7710201,-29.3494992,DCRS-00009,DCRS-00009
123,"10.192.10.123",PCD Teutônia  (H),-51.7683983,-29.460321,DCRS-00010,DCRS-00010
124,"10.192.10.124",PCD Travesseiro/Pouso Novo (H),-52.1595095,-29.2145341,DCRS-00011,DCRS-00011
125,"10.192.10.125",PCD Montenegro (H),-51.4601267,-29.6970195,DCRS-00012,DCRS-00012
126,"10.192.10.126",PCD Putinga (H),-52.1603493,-29.0003133,DCRS-00013,DCRS-00013
127,"10.192.10.127",PCD Barão de Cotegipe (H),-52.3841417,-27.6243353,DCRS-00014,DCRS-00014
128,"10.192.10.128",PCD Getúlio Vargas (H),-52.2323318,-27.8804253,DCRS-00015,DCRS-00015
129,"10.192.10.129",PCD Passo Fundo (H),-52.371259,-28.247,DCRS-00016,DCRS-00016
130,"10.192.10.130",PCD Marau (H),-52.1891894,-28.4568272,DCRS-00017,DCRS-00017
131,"10.192.10.131",PCD União da Serra (H),-52.083,-28.7196425,DCRS-00018,DCRS-00018
132,"10.192.10.132",PCD Sarandi (H),-52.9195391,-27.9373507,DCRS-00019,DCRS-00019
133,"10.192.10.133",PCD Rodeio Bonito (H),-53.1601779,-27.4988042,DCRS-00020,DCRS-00020
134,"10.192.10.134",PCD Coronel Bicaco (H),-53.7135869,-27.7168626,DCRS-00021,DCRS-00021
135,"10.192.10.135",PCD Santa Rosa - Pessegueirinho (H),-54.4889254,-27.8709613,DCRS-00022,DCRS-00022
136,"10.192.10.136",PCD Panambi (H),-53.5033102,-28.3013427,DCRS-00023,DCRS-00023
137,"10.192.10.137",PCD Ibirubá (H),-53.0895816,-28.6209717,DCRS-00024,DCRS-00024
167,"10.192.10.167",PCD Santa Vitória do Palmar - Lagoa Mirim (H),-53.4358513,-33.497895,DCRS-00049,DCRS-00049
192,"10.192.10.192",PCD Toropi/São Pedro do Sul,-54.226,-29.491,DCRS-00058,DCRS-00058
116,"10.192.10.116",PCD Araricá / Sapiranga / Taquara (H),-50.9417863,-29.6911335,DCRS-00003,DCRS-00003
191,"10.192.10.191",PCD Cotiporã/Dois Lajeados,-51.7547042,-28.9956736,DCRS-00057,DCRS-00056
193,"10.192.10.193",PCD Santa Rosa - Pessegueiro,-54.4913354,-27.8783799,DCRS-00059,DCRS-00059
194,"10.192.10.194",PCD Barra do Rio Azul - Rio Palomas,-52.4144855,-27.409572,DCRS-00060,DCRS-00060
195,"10.192.10.195",PCD Cacique Doble,-51.6667389,-27.766538,DCRS-00061,DCRS-00061
196,"10.192.10.196",PCD Pelotas - Arroio Pelotas,-52.4114551,-31.5927767,DCRS-00062,DCRS-00062
198,"10.192.10.198",PCD São Gabriel,-54.3057472,-30.3412999,DCRS-00064,DCRS-00064
155,"10.192.10.155",PCD Piratini/Cerrito (H),-52.901,-31.7192,DCRS-00042,DCRS-0041
154,"10.192.10.154",PCD Bagé (H),-54.0938899,-31.329597,DCRS-00041,DCRS-0041
153,"10.192.10.153",PCD São Lourenço do Sul - Arroio São Lourenço (H),-52.1176329,-31.2898991,DCRS-00040,DCRS-0040
152,"10.192.10.152",PCD Pelotas - Colônia Z3 (H),-52.1566228,-31.7023414,DCRS-00039,DCRS-0039
151,"10.192.10.151",PCD Rio Grande (H),-52.1021247,-32.0274914,DCRS-00038,DCRS-0038
150,"10.192.10.150",PCD Mostardas (H),-31.020551,-50.967103,DCRS-00037,DCRS-0037
149,"10.192.10.149",PCD São Francisco de Assis (H),-55.1363954,-29.5472819,DCRS-00036,DCRS-0036
148,"10.192.10.148",PCD Jaguari (H),-54.6886945,-29.4993291,DCRS-00035,DCRS-0035
147,"10.192.10.147",PCD Mata (H),-54.452479,-29.5640508,DCRS-00034,DCRS-0034
146,"10.192.10.146",PCD Porto Alegre - Ipanema (H),-51.2271469,-30.1418929,DCRS-00033,DCRS-0033
145,"10.192.10.145",PCD Charqueadas (H),-51.6173796,-29.9478367,DCRS-00032,DCRS-0032
144,"10.192.10.144",PCD Montenegro/Nova Santa Rita (H),-51.3518767,-29.8222656,DCRS-00031,DCRS-0031
143,"10.192.10.143",PCD Cerro Branco/Candelária (H),-52.9316674,-29.669479,DCRS-00030,DCRS-0030
142,"10.192.10.142",PCD Sinimbu (H),-52.5196362,-29.5334966,DCRS-00029,DCRS-0029
141,"10.192.10.141",PCD Rio Pardo - Rio Jacuí (H),-52.3814083,-29.9932563,DCRS-00028,DCRS-0028
140,"10.192.10.140",PCD Santa Maria - Arroio Cadena (H),-53.8356179,-29.7001305,DCRS-00027,DCRS-0027
139,"10.192.10.139",PCD Nova Palma (H),-53.4793418,-29.4761817,DCRS-00026,DCRS-0026
138,"10.192.10.138",PCD Caraá (H),-50.357312,-29.769188,DCRS-00025,DCRS-0025
161,"10.192.10.161",PCD Morrinhos do Sul (H),-49.9374547,-29.3667655,DCRS-00048,DCRS-00048
160,"10.192.10.160",PCD Maquiné (H),-50.1992526,-29.6749577,DCRS-00047,DCRS-00047
159,"10.192.10.159",PCD Picada Café (H),-51.1403599,-29.462027,DCRS-00046,DCRS-00046
158,"10.192.10.158",PCD São Lourenço do Sul (H),-51.959922,-31.377422,DCRS-00045,DCRS-00045
157,"10.192.10.157",PCD Viamão - Itapuã (H),-51.0213328,-30.2826341,DCRS-00044,DCRS-00044
169,"10.192.10.169",PCD Arroio Grande (H),-53.1922,-32.1859,DCRS-00050,DCRS-00050
170,"10.192.10.170",PCD Piratini/Herval (H),-53.0277,-31.8754,DCRS-00051,DCRS-00051
171,"10.192.10.171",PCD Cerrito/Pedro Osório (H),-52.8168,-31.8605,DCRS-00052,DCRS-00052
172,"10.192.10.172",PCD Arambaré (H),-51.4926,-30.9064,DCRS-00053,DCRS-00053
174,"10.192.10.174",PCD Santa Cruz do Sul/Venâncio Aires (H),-52.3248,-29.5657,DCRS-00055,DCRS-00055
173,"10.192.10.173",PCD Barra do Ribeiro - Lago Guaíba (H),-51.2988,-30.2945,DCRS-00054,DCRS-00054
197,"10.192.10.197",PCD Capão do Leão - Eclusa - Canal São Gonçalo,-52.3890379,-31.810872,DCRS-00063,DCRS-00063
199,"10.192.10.199",PCD Dom Pedrito,-54.6887037,-30.9745716,DCRS-00065,DCRS-00065
200,"10.192.10.200",PCD Encruzilhada do Sul,-52.5879168,-30.4903637,DCRS-00066,DCRS-00066
216,"10.192.10.216",PCD Lavras do Sul,-53.8998,-30.8157,DCRS-00067,DCRS-00067
236,"10.192.10.236",PCD Canudos do Vale,-52.2355,-29.3225,DCRS-00068,DCRS-00068
237,"10.192.10.237",PCD Bom Princípio,-51.3491,-29.4877,DCRS-00069,DCRS-00069
238,"10.192.10.238",PCD São Leopoldo,-51.1493,-29.7593,DCRS-00070,DCRS-00070
239,"10.192.10.239",PCD Aratiba,-52.2982,-27.3934,DCRS-00071,DCRS-00071
240,"10.192.10.240",PCD Torres,-49.7697,-29.2994,DCRS-00072,DCRS-00072
241,"10.192.10.241",PCD Iraí - Rio do Mel,-53.2497,-27.1991,DCRS-00073,DCRS-00073
242,"10.192.10.242",PCD Barra do Rio Azul - Rio Azul,-52.4124,-27.4107,DCRS-00074,DCRS-00074
244,"10.192.10.244",PCD Eldorado do Sul,-51.272,-29.992,DCRS-00076,DCRS-00076
245,"10.192.10.245",PCD Alegrete,-55.7831,-29.8054,DCRS-00077,DCRS-00077
246,"10.192.10.246",PCD Santa Maria - Rio Vacacaí,-53.4161,-29.9253,DCRS-00078,DCRS-00078
247,"10.192.10.247",PCD São Borja,-56.0146,-28.6108,DCRS-00079,DCRS-00079
248,"10.192.10.248",PCD São Pedro do Sul/Santa Maria,-54.1064,-29.6649,DCRS-00080,DCRS-00080
249,"10.192.10.249",PCD Palmares do Sul,-50.4801,-30.2571,DCRS-00081,DCRS-00081
250,"10.192.10.250",PCD Encantado,-51.921,-29.1885,DCRS-00082,DCRS-00082
243,"10.192.10.243","PCD Nova Petrópolis/Caxias do Sul
",-51.1638,-29.3308,DCRS-00075,DCRS-00075
259,"0.0.0.0",PCD Três Forquilhas - Rio Três Forquilhas,-50.0911,-29.51,DCRS-00083,DCRS-00083
261,"0.0.0.0",PCD Dois Irmãos,-51.0895,-29.5971,DCRS-00085,DCRS-00085
262,"0.0.0.0",PCD Bom Jesus/Jaquirana,-50.4298,-28.7988,DCRS-00086,DCRS-00086
263,"0.0.0.0",PCD Antônio Prado/Flores da Cunha,-51.1885,-28.9399,DCRS-00087,DCRS-00087
264,"0.0.0.0",PCD Sertão Santana,-51.6087,-30.4736,DCRS-00088,DCRS-00088
189,"10.192.10.189",PCD Maquiné - Rio Maquiné,-50.2784,-29.5806,DCRS-00056,DCRS-00056
299,"0.0.0.0",PCD Cerro Grande do Sul,-51.7486,-30.5908,DCRS-00089,DCRS-00089
300,"0.0.0.0",PCD Dom Feliciano,-52.0603,-30.6962,DCRS-00090,DCRS-00090
301,"0.0.0.0",PCD  Muçum/Encantado,-51.8868,-29.1682,DCRS-00091,DCRS-00091
302,"0.0.0.0",PCD Encantado/Roca Sales,-51.8819,-29.2818,DCRS-00092,DCRS-00092
303,"0.0.0.0",PCD São Jerônimo,-51.7613,-29.9555,DCRS-00093,DCRS-00093
308,"0.0.0.0",PCD Tuparendi/Tucunduva,0.0,0.0,DCRS-00094,DCRS-00094
323,"0.0.0.0",PCD Rio Pardo,0.0,0.0,DCRS-00101,DCRS-00101
324,"0.0.0.0",PCD Dona Francisca,0.0,0.0,DCRS-00102,DCRS-00102
325,"0.0.0.0",PCD Manoel Viana,0.0,0.0,DCRS-00103,DCRS-00103
326,"0.0.0.0",PCD Arroio do Meio/Lajeado,0.0,0.0,DCRS-00104,DCRS-00104
355,"0.0.0.0",PCD Viamão - Reserva Estadual,0.0,0.0,DCRS-00105,DCRS-00105
388,"0.0.0.0",PCD Tucunduva/Horizontina,0.0,0.0,DCRS-00107,DCRS-00107
389,"0.0.0.0",PCD Guarani das Missões,0.0,0.0,DCRS-00106,DCRS-00106
320,"0.0.0.0",PCD Porto Lucena/Porto Xavier,-55.0519,-27.8782,DCRS-00098,DCRS-00098
321,"0.0.0.0",PCD Iraí - Rio Uruguai,-53.2328,-27.1741,DCRS-00099,DCRS-00099
309,"0.0.0.0",PCD Santo Antônio das Missões/São Borja,0.0,0.0,DCRS-00095,DCRS-00095
395,"0.0.0.0",PCD Bossoroca,0.0,0.0,DCRS-00109,DCRS-00109
396,"0.0.0.0",PCD Muitos Capões/Lagoa Vermelha,0.0,0.0,DCRS-00110,DCRS-00110
394,"0.0.0.0",PCD Santa Cruz do Sul,0.0,0.0,DCRS-00108,DCRS-00108
397,"0.0.0.0",PCD Arroio Grande - Santa Isabel do Sul,0.0,0.0,DCRS-00111,DCRS-00111
399,"0.0.0.0",PCD Cachoeira do Sul - Centro,0.0,0.0,DCRS-00113,DCRS-00113
400,"0.0.0.0",PCD Lagoão,0.0,0.0,DCRS-00114,DCRS-00114
401,"0.0.0.0",PCD Jaguarão,0.0,0.0,DCRS-00115,DCRS-00115
319,"0.0.0.0",PCD Paulo Bento,0.0,0.0,DCRS-00097,DCRS-00097
402,"0.0.0.0",PCD Barra Funda/Novo Barreiro,0.0,0.0,DCRS-00116,DCRS-00116
403,"0.0.0.0",PCD Quaraí,0.0,0.0,DCRS-00117,DCRS-00117
404,"0.0.0.0",PCD Cachoeira do Sul - Arroio Irapuá,0.0,0.0,DCRS-00118,DCRS-00118
405,"0.0.0.0",PCD Esteio,0.0,0.0,DCRS-00119,DCRS-00119
406,"0.0.0.0",PCD Gravataí,0.0,0.0,DCRS-00120,DCRS-00120
407,"0.0.0.0",PCD Guaporé/Anta Gorda,0.0,0.0,DCRS-00121,DCRS-00121
408,"0.0.0.0",PCD Porto Alegre - Cristal,0.0,0.0,DCRS-00122,DCRS-00122
409,"0.0.0.0",PCD Arroio do Meio - Rio Taquari,0.0,0.0,DCRS-00123,DCRS-00123
410,"0.0.0.0",PCD Candelária,0.0,0.0,DCRS-00124,DCRS-00124
411,"0.0.0.0",PCD Cristal,0.0,0.0,DCRS-00125,DCRS-00125
398,"0.0.0.0",PCD Amaral Ferrador,0.0,0.0,DCRS-00112,DCRS-00112
412,"0.0.0.0",PCD Turuçu,0.0,0.0,DCRS-00126,DCRS-00126
