"id_estacao","ip_mikrotik","nome","longitude","latitude","codigo_estacao_interno","codigo_estacao_parceiro"
3,"10.192.10.3",PCD Agronômica,-49.712184,-27.258017,DCSC-00001,DCSC-00001
7,"10.192.10.7",PCD Gaspar,-48.964298,-26.92646,DCSC-00005,DCSC-00005
5,"10.192.10.5",PCD Blumenau,-49.135429382,-26.922445297,DCSC-00026,DCSC-00026
49,"10.192.10.49",PCD Santa Rosa de Lima,-49.143861,-28.042751,DCSC-00045,DCSC-00045
50,"10.192.10.50",PCD Orleans,-49.272606,-28.354989,DCSC-00046,DCSC-00046
2,"10.192.10.2",PCD Bom Retiro,-49.583573,-27.899751,DCSC-00002,DCSC-00002
1,"10.192.10.1",PCD Morro da Fumaça (M),-49.2139,-28.6492,DCSC-00047,DCSC-00047
51,"10.192.10.51",PCD Tubarão (Guarda) (H),-48.9948,-28.4713,DCSC-00048,DCSC-00048
52,"10.192.10.52",PCD São Pedro de Alcântara (H),-48.7565,-27.5718,DCSC-00049,DCSC-00049
53,"10.192.10.53",PCD São João Batista (H),-48.8525,-27.2743,DCSC-00050,DCSC-00050
54,"10.192.10.54",PCD Balneário Gaivota (M),-49.5023,-29.0407,DCSC-00051,DCSC-00051
55,"10.192.10.55",PCD Jacinto Machado (H),-49.7623,-28.9975,DCSC-00052,DCSC-00052
56,"10.192.10.56",PCD Criciúma - Centro (M),-49.4163,-28.6705,DCSC-00053,DCSC-00053
57,"10.192.10.57",PCD Lauro Muller (H),-49.3901,-28.392,DCSC-00054,DCSC-00054
58,"10.192.10.58",PCD Meleiro (H),-49.6435,-28.8406,DCSC-00055,DCSC-00055
59,"10.192.10.59",PCD Forquilhinha (H),-49.4751,-28.7478,DCSC-00056,DCSC-00056
60,"10.192.10.60",PCD Biguaçu (M),-48.7108,-27.426,DCSC-00057,DCSC-00057
61,"10.192.10.61",PCD Florianópolis Norte (M),-48.4134,-27.4348,DCSC-00058,DCSC-00058
62,"10.192.10.62",PCD Florianópolis Sul (M),-48.5243,-27.779,DCSC-00059,DCSC-00059
63,"10.192.10.63",PCD Santo Amaro da Imperatriz (H),-48.7774,-27.691,DCSC-00060,DCSC-00060
64,"10.192.10.64",PCD Camboriú (Centro) (H),-48.6525,-27.0184,DCSC-00061,DCSC-00061
65,"10.192.10.65",PCD Luiz Alves (H),-48.9099,-26.715,DCSC-00062,DCSC-00062
66,"10.192.10.66",PCD Itaiópolis (M),-49.9075,-26.3373,DCSC-00063,DCSC-00063
67,"10.192.10.67",PCD Santa Terezinha (M),-49.9874,-26.6542,DCSC-00064,DCSC-00064
68,"10.192.10.68",PCD Salete (H),-50.011,-26.9828,DCSC-00065,DCSC-00065
69,"10.192.10.69",PCD Taió (H),-50.1267,-27.0397,DCSC-00066,DCSC-00066
70,"10.192.10.70",PCD Aurora (H),-49.638,-27.3175,DCSC-00067,DCSC-00067
71,"10.192.10.71",PCD Presidente Nereu (H),-49.3886,-27.2793,DCSC-00068,DCSC-00068
72,"10.192.10.72",PCD São Francisco do Sul (M),-48.6309,-26.2483,DCSC-00069,DCSC-00069
73,"10.192.10.73",PCD Garuva (M),-48.8415,-26.0464,DCSC-00070,DCSC-00070
74,"10.192.10.74",PCD Campo Alegre (M),-49.2604,-26.0912,DCSC-00071,DCSC-00071
75,"10.192.10.75",PCD Corupá (H),-49.2766,-26.4355,DCSC-00072,DCSC-00072
76,"10.192.10.76",PCD Guaramirim (H),-48.9937,-26.4748,DCSC-00073,DCSC-00073
77,"10.192.10.77",PCD Jaraguá do Sul (H),-122.0,-26.4799,DCSC-00074,DCSC-00074
78,"10.192.10.78",PCD Urussanga (H),-49.3006,-28.5349,DCSC-00075,DCSC-00075
79,"10.192.10.79",PCD Palhoça,-48.6716,-27.8007,DCSC-00076,DCSC-00076
80,"10.192.10.80",PCD Armazém,-49.014969,-28.25955,DCSC-00077,DCSC-00077
81,"10.192.10.81",PCD Maracajá,-49.4564246,-28.8452882,DCSC-00078,DCSC-00078
82,"10.192.10.82",PCD Ermo,-49.6375,-28.9725,DCSC-00079,DCSC-00079
83,"10.192.10.83",PCD Timbé do Sul,-49.8512,-28.8322,DCSC-00080,DCSC-00080
84,"10.192.10.84",PCD Praia Grande,-49.9459,-29.1996,DCSC-00081,DCSC-00081
45,"10.192.10.45",PCD Brusque (M),-49.624281,-27.045497,DCSC-00044,DCSC-00044
181,"10.192.10.181",PCD Saudades,-53.0074998,-26.9264943,DCSC-00116,DCSC-00116
182,"10.192.10.182",PCD Quilombo,-52.7257957,-26.7289283,DCSC-00117,DCSC-00117
183,"10.192.10.183",PCD Chapecó,-52.710424,-27.087744,DCSC-00118,DCSC-00118
184,"10.192.10.184",PCD Passos Maia/Xanxerê,-52.0696544,-26.7789873,DCSC-00119,DCSC-00119
185,"10.192.10.185",PCD Abelardo Luz,-52.312519,-26.58047,DCSC-00120,DCSC-00120
186,"10.192.10.186",PCD Nova Veneza - Mãe Luzia,-49.48615,-28.65987,DCSC-00121,DCSC-00121
187,"10.192.10.187",PCD São Ludgero,-49.1748013,-28.3291062,DCSC-00122,DCSC-00122
165,"10.192.10.165",AGRTB-004 - Braço do Norte,-49.16749,-28.278273,AGRTB-004,AGRTB-004
164,"10.192.10.164",AGRTB-003 - São Martinho,-48.97772,-28.16452,AGRTB-003,AGRTB-003
163,"10.192.10.163",AGRTB-001 - Paulo May (Tubarão),-48.994526,-28.471329,AGRTB-001,AGRTB-001
162,"10.192.10.162",AGRTB-002 - Cemitério (Tubarão),-49.0189375,-28.5200625,AGRTB-002,AGRTB-002
166,"10.192.10.166",AGRTB-005 - Orleans,-49.29538,-28.35855,AGRTB-005,AGRTB-005
113,"10.192.10.113",PCD Mondaí,-53.3844828,-27.0895106,DCSC-00109,DCSC-00109
112,"10.192.10.112",PCD Barra Bonita,-53.4225423,-26.6655484,DCSC-00108,DCSC-00108
110,"10.192.10.110",PCD São Carlos/Águas de Chapecó,-52.9923329,-27.0757395,DCSC-00107,DCSC-00107
